"","Date","Forest","Tree","Species","DBHcm","Comments"
"1","20-Sep-17","Donnerville",19,"American beech","13.5",""
"2","27-Sep-17","Donnerville",27,"American beech","13.3",""
"3","27-Sep","Donnerville",28,"American beech","12",""
"4","27-Sep-17","Donnerville",44,"American beech","15.2","1/2 DEAD"
"5","27-Sep-17","Donnerville",46,"American beech","20.5",""
"6","27-Sep-17","Donnerville",51,"American beech","15.7",""
"7","27-Sep-17","Donnerville",52,"American beech","17.5",""
"8","27-Sep-17","Donnerville",53,"American beech","24",""
"9","27-Sep-17","Donnerville",54,"American beech","15.3",""
"10","27-Sep-17","Donnerville",74,"American beech","16.3",""
"11","27-Sep-17","Donnerville",78,"American beech","10.5",""
"12","27-Sep-17","Donnerville",79,"American beech","13.4",""
"13","27-Sep","Donnerville",32,"Basswood","52.7","DEAD"
"14","20-Sep-17","Donnerville",13,"Big toothed aspen","32.5",""
"15","20-Sep-17","Donnerville",16,"Big toothed aspen","36",""
"16","20-Sep-17","Donnerville",18,"Big toothed aspen","24",""
"17","20-Sep-17","Donnerville",20,"Big toothed aspen","22",""
"18","27-Sep-17","Donnerville",35,"Black cherry","35",""
"19","27-Sep","Donnerville",40,"Black cherry","23.7",""
"20","27-Sep","Donnerville",41,"Black cherry","26.4",""
"21","27-Sep-17","Donnerville",43,"Black cherry","12.5",""
"22","27-Sep-17","Donnerville",49,"Black cherry","10.5",""
"23","20-Sep-17","Donnerville",23,"Catscratch","10",""
"24","27-Sep-17","Donnerville",77,"Catscratch","14.8",""
"25","27-Sep","Donnerville",31,"Musclewood","15",""
"26","20-Sep-17","Donnerville",5,"Red maple","16.5",""
"27","20-Sep-17","Donnerville",14,"Red maple","12.5",""
"28","20-Sep-17","Donnerville",22,"Red maple","16.5",""
"29","20-Sep-17","Donnerville",25,"Red maple","15.2",""
"30","20-Sep-17","Donnerville",26,"Red maple","17.5",""
"31","27-Sep","Donnerville",29,"Red maple","16.1","DEAD"
"32","27-Sep","Donnerville",37,"Red maple","12.1",""
"33","27-Sep","Donnerville",39,"Red maple","19.5",""
"34","27-Sep-17","Donnerville",45,"Red maple","22.9",""
"35","27-Sep-17","Donnerville",61,"Red maple","32",""
"36","27-Sep-17","Donnerville",63,"Red maple","28.6",""
"37","27-Sep-17","Donnerville",73,"Red maple","19.6",""
"38","27-Sep","Donnerville",38,"Slippery elm","12.3",""
"39","20-Sep-17","Donnerville",1,"Sugar maple","24.5",""
"40","20-Sep-17","Donnerville",2,"Sugar maple","18.5",""
"41","20-Sep-17","Donnerville",3,"Sugar maple","14.5",""
"42","20-Sep-17","Donnerville",4,"Sugar maple","23",""
"43","20-Sep-17","Donnerville",6,"Sugar maple","16.3",""
"44","20-Sep-17","Donnerville",7,"Sugar maple","18.5",""
"45","20-Sep-17","Donnerville",8,"Sugar maple","12",""
"46","20-Sep-17","Donnerville",9,"Sugar maple","17",""
"47","20-Sep-17","Donnerville",10,"Sugar maple","74.5",""
"48","20-Sep-17","Donnerville",11,"Sugar maple","22.5",""
"49","20-Sep-17","Donnerville",12,"Sugar maple","16",""
"50","20-Sep-17","Donnerville",15,"Sugar maple","15",""
"51","20-Sep-17","Donnerville",17,"Sugar maple","12",""
"52","20-Sep-17","Donnerville",21,"Sugar maple","13",""
"53","20-Sep-17","Donnerville",24,"Sugar maple","27",""
"54","27-Sep-17","Donnerville",33,"Sugar maple","66",""
"55","27-Sep-17","Donnerville",50,"Sugar maple","18.8",""
"56","27-Sep-17","Donnerville",64,"Sugar maple","10",""
"57","27-Sep-17","Donnerville",65,"Sugar maple","13",""
"58","27-Sep-17","Donnerville",69,"Sugar maple","16.7",""
"59","27-Sep-17","Donnerville",70,"Sugar maple","11.2",""
"60","27-Sep-17","Donnerville",72,"Sugar maple","15.7",""
"61","27-Sep-17","Donnerville",76,"Sugar maple","32",""
"62","27-Sep-17","Donnerville",36,"White ash","22.5",""
"63","27-Sep","Donnerville",42,"White ash","12.2",""
"64","27-Sep-17","Donnerville",62,"Yellow birch","29.5",""
"65","27-Sep-17","Donnerville",66,"Yellow birch","23.5","DEAD"
"66","27-Sep-17","Donnerville",67,"Yellow birch","22",""
"67","27-Sep-17","Donnerville",71,"Yellow birch","32",""
"68","27-Sep-17","Donnerville",75,"Yellow birch","22.2",""
"69","27-Sep-17","Donnerville",80,"Yellow birch","32",""
"70","18-Oct-17","Peavine Swamp",162,"American beech","12.1",""
"71","18-Oct-17","Peavine Swamp",163,"American beech","11.4",""
"72","18-Oct-17","Peavine Swamp",167,"American beech","10.1",""
"73","18-Oct-17","Peavine Swamp",170,"American beech","10.6",""
"74","18-Oct-17","Peavine Swamp",172,"American beech","17.3",""
"75","18-Oct-17","Peavine Swamp",173,"American beech","19.2",""
"76","18-Oct-17","Peavine Swamp",174,"American beech","16.8",""
"77","18-Oct-17","Peavine Swamp",176,"American beech","14.8",""
"78","18-Oct-17","Peavine Swamp",184,"American beech","11",""
"79","18-Oct-17","Peavine Swamp",187,"American beech","12.1",""
"80","25-Oct-17","Peavine Swamp",206,"American beech","19.7",""
"81","25-Oct-17","Peavine Swamp",208,"American beech","18.3",""
"82","25-Oct-17","Peavine Swamp",214,"American beech","16",""
"83","25-Oct-17","Peavine Swamp",217,"American beech","10.2",""
"84","25-Oct-17","Peavine Swamp",219,"American beech","11.8",""
"85","25-Oct-17","Peavine Swamp",221,"American beech","11.7",""
"86","18-Oct-17","Peavine Swamp",186,"Gray birch","27.6",""
"87","18-Oct-17","Peavine Swamp",188,"Gray birch","24.8",""
"88","18-Oct-17","Peavine Swamp",171,"Red elm","13","Check species - American elm?"
"89","18-Oct-17","Peavine Swamp",158,"Red maple","36.6",""
"90","18-Oct-17","Peavine Swamp",159,"Red maple","12.4",""
"91","18-Oct-17","Peavine Swamp",160,"Red maple","38.4",""
"92","18-Oct-17","Peavine Swamp",161,"Red maple","25.9",""
"93","18-Oct-17","Peavine Swamp",164,"Red maple","32.7",""
"94","18-Oct-17","Peavine Swamp",165,"Red maple","13.3",""
"95","18-Oct-17","Peavine Swamp",166,"Red maple","29",""
"96","18-Oct-17","Peavine Swamp",168,"Red maple","17.9",""
"97","18-Oct-17","Peavine Swamp",198,"Red maple","31.4",""
"98","18-Oct-17","Peavine Swamp",201,"Red maple","30.3",""
"99","18-Oct-17","Peavine Swamp",202,"Red maple","26.6","DEAD"
"100","25-Oct-17","Peavine Swamp",215,"Red maple","15.1",""
"101","25-Oct-17","Peavine Swamp",218,"Red maple","32","DEAD"
"102","25-Oct-17","Peavine Swamp",220,"Red maple","15.4",""
"103","25-Oct-17","Peavine Swamp",222,"Red maple","11.3",""
"104","25-Oct-17","Peavine Swamp",223,"Red maple","13.4",""
"105","25-Oct-17","Peavine Swamp",226,"Red maple","25.9",""
"106","18-Oct-17","Peavine Swamp",169,"Sugar maple","20.5",""
"107","18-Oct-17","Peavine Swamp",175,"Sugar maple","18",""
"108","18-Oct-17","Peavine Swamp",182,"Sugar maple","41.3",""
"109","18-Oct-17","Peavine Swamp",183,"Sugar maple","28.4",""
"110","18-Oct-17","Peavine Swamp",185,"Sugar maple","39.1",""
"111","18-Oct-17","Peavine Swamp",189,"Sugar maple","12",""
