Date,Forest,PlotNum,PlotID,Quadrant,Tree,Species,DBHcm,Xcoord,Ycoord,DistanceM,HtPercent,TreeHeightM,Comments
20-Sep-17,Donnerville,1,1,Q3,19,American beech,13.5,,,,,,
27-Sep-17,Donnerville,2,2,Q1,27,American beech,13.3,2.1,0.9,4,150,8,
27-Sep,Donnerville,2,2,Q1,28,American beech,12,9.5,10,10,45,4.5,
27-Sep-17,Donnerville,2,2,Q3,44,American beech,15.2,,,,,,1/2 DEAD
27-Sep-17,Donnerville,2,2,Q3,46,American beech,20.5,,,,,,
27-Sep-17,Donnerville,2,2,Q3,51,American beech,15.7,,,,,,
27-Sep-17,Donnerville,2,2,Q3,52,American beech,17.5,,,,,,
27-Sep-17,Donnerville,2,2,Q3,53,American beech,24,,,,,,
27-Sep-17,Donnerville,2,2,Q3,54,American beech,15.3,,,,,,
27-Sep-17,Donnerville,3,3,Q3,74,American beech,16.3,,,,,,
27-Sep-17,Donnerville,3,3,Q4,78,American beech,10.5,,,,,,
27-Sep-17,Donnerville,3,3,Q4,79,American beech,13.4,,,,,,
27-Sep,Donnerville,2,2,Q1,32,Basswood,52.7,,,,,,DEAD
20-Sep-17,Donnerville,1,1,Q3,13,Big toothed aspen,32.5,,,,,,
20-Sep-17,Donnerville,1,1,Q3,16,Big toothed aspen,36,,,,,,
20-Sep-17,Donnerville,1,1,Q3,18,Big toothed aspen,24,,,,,,
20-Sep-17,Donnerville,1,1,Q4,20,Big toothed aspen,22,,,,,,
27-Sep-17,Donnerville,2,2,Q1,35,Black cherry,35,9.5,8,10,160,16,
27-Sep,Donnerville,2,2,Q2,40,Black cherry,23.7,,,10,110,11,
27-Sep,Donnerville,2,2,Q2,41,Black cherry,26.4,0,15.2,10,140,14,
27-Sep-17,Donnerville,2,2,Q3,43,Black cherry,12.5,,,,,,
27-Sep-17,Donnerville,2,2,Q3,49,Black cherry,10.5,,,,,,
20-Sep-17,Donnerville,1,1,Q4,23,Catscratch,10,,,,,,
27-Sep-17,Donnerville,3,3,Q4,77,Catscratch,14.8,,,,,,
27-Sep,Donnerville,2,2,Q1,31,Musclewood,15,5.6,1,10,40,4,
20-Sep-17,Donnerville,1,1,Q1,5,Red maple,16.5,0.2,6.6,10,145,14.5,
20-Sep-17,Donnerville,1,1,Q3,14,Red maple,12.5,,,,,,
20-Sep-17,Donnerville,1,1,Q4,22,Red maple,16.5,,,,,,
20-Sep-17,Donnerville,1,1,Q4,25,Red maple,15.2,,,,,,
20-Sep-17,Donnerville,1,1,Q4,26,Red maple,17.5,,,,,,
27-Sep,Donnerville,2,2,Q1,29,Red maple,16.1,,,,,,DEAD
27-Sep,Donnerville,2,2,Q2,37,Red maple,12.1,8.1,0.6,10,100,10,
27-Sep,Donnerville,2,2,Q2,39,Red maple,19.5,7.4,11.3,10,126,12.6,
27-Sep-17,Donnerville,2,2,Q3,45,Red maple,22.9,,,,,,
27-Sep-17,Donnerville,2,2,Q4,61,Red maple,32,,,,,,
27-Sep-17,Donnerville,3,3,Q1,63,Red maple,28.6,0.5,8,10,105,10.5,
27-Sep-17,Donnerville,3,3,Q2,73,Red maple,19.6,0,10,10,141,14.1,
27-Sep,Donnerville,2,2,Q2,38,Slippery elm,12.3,,,10,90,9,
